,,,,Tôi sẽ nhận được gì từ khóa học này?,Đối tượng mục tiêu của khóa học này là gì?,,,
Năng suất làm việc cho người dùng máy Mac: Tăng năng suất làm việc của bạn lên 10 lần,Phím tắt và công cụ giúp tăng năng suất của bạn lên 10 lần trên máy tính Mac,"Mô tả khóa học
Đã từng bao giờ bạn cảm thấy mình đang lãng phí quá nhiều thời gian để hoàn thành những tác vụ đơn giản trên máy tính? Giống như có những ngày bạn dành ra hàng giờ chỉ để hoàn thành một phần mười những gì bạn mong đợi khi thức dậy vào sáng hôm ấy?
Đó không phải là cảm giác gì tốt đẹp, nhưng đối với rất nhiều người trong số chúng ta, đó là thực tế.
Tại sao lại như vậy? Bởi rất nhiều người trong chúng ta không làm chủ được công cụ mà chúng ra sử dụng nhiều nhất - máy tính của chúng ta.
Chúng ta đều đã nghe câu chuyện về người đốn củi, người cố gắng mài lưới cưa của mình để đốn được nhiều cây hơn. Có bao nhiêu người trong số chúng ta đang dành hàng giờ mỗi ngày làm việc với máy tính mà vẫn không biết những mẹo và thủ thuật để sử dụng nó hiệu quả hơn? Thay vào đó, chúng tiếp tục làm những thứ mà mình đã làm, và lãng phí thời gian mà đáng ra ta có thể nghỉ ngơi, kiếm nhiều tiền hơn hoặc đi chơi với bạn bè và gia đình.
Khóa học này sẽ thay đổi điều đó. Qua nhiều năm, tôi đã học được những công cụ và phím tắt để tăng gấp 10 lần hiệu suất làm việc trên máy Mac của tôi. Cùng với đó, những thủ thuật tăng hiệu suất làm việc này cũng giúp tôi viết nhanh hơn, duyệt mail nhanh hơn, sử dụng Microsoft Office nhanh gấp 5 lần và làm được nhiều việc hơn.
Một nghiên cứu gần đây thống kê được rằng việc sử dụng máy tính chậm sẽ làm lãng phí trung bình của một lao động TOÀN BỘ 8 NGÀY mỗi năm, đơn giản bởi họ không biết làm thế nào để sử dụng máy tính một cách hiệu quả. Ngay cả nếu bạn đã làm việc quen trên máy tính, tôi đảm bảo khóa học này sẽ chỉ cho bạn cách sử dụng máy Mac như một chuyên gia.
Và... tin tốt là bạn không cần phải quá thành thạo với máy tính để có thể đạt được lợi ích. Tôi đã giúp người mẹ 50 tuổi của tôi làm công việc của bà ấy nhanh hơn để thoát khỏi chiếc máy tính mà bà ghét và dành thời gian cho gia đình nhiều hơn. 
Ở cuối khóa học này, bạn sẽ học được những bí mật thâm sâu nhất của Macbook để tăng hiệu suất làm việc mà chỉ có một vài phù thủy Apple biết được.
Các đường tắt và công cụ sẽ giúp cắt giảm thời gian mà bạn sử dụng cho Microsoft Office xuống 60%
Một thủ thuật đơn giản để lấy lại những giờ phút bị lãng phí giữa những chương trình mỗi ngày.
Làm thế nào để vận dụng các đoạn văn bản như một CHUYÊN GIA và không cần dùng đến chuột nữa.
7 chiến lược để làm chủ Gmail và xử lý email của bạn trong chưa đầy 1 phút.
Những chiến thuật và phím tắt nâng cao với FInder, Quicksliver và Google Chrome
Giới thiệu 5 công cụ miến phí giúp tiết kiệm cho bạn hàng giờ đồng hồ làm việc.
Nếu bạn muốn lấy lại thời gian đáng giá của mình để làm việc hiệu quả suốt đời, khóa học này chính là dành cho bạn.
Tôi đã đóng gói rất nhiều thông tin hữu ích vào trong khóa học này, chỉ 60 phút kể từ giờ, bạn có thể sử dụng Mac hiệu quả hơn 95% người dùng Mac. Nghe hay đúng không?
Nếu điều này là không đủ, Udemy đảm bảo hoàn trả lại tiền cho bất kỳ lý do nào nếu như bạn không cảm thấy hài lòng với khóa học mà bạn đã mua ở đây. Thêm vào đó, bạn sẽ được tiếp cận thoải mái với tôi và tất cả những tài liệu cho khóa học mà tôi bổ sung khi các học viên tham gia vào.
Nếu bạn sử dụng máy tính nhiều hơn 1 giờ mỗi ngày, bạn cần phải cải thiện bản thân để trở nên hiệu quả nhất có thể. Thật ra, khả năng làm đươc nhiều việc hơn sẽ dẫn đến sự thăng tiến, tự do về thời gian và công việc hiệu quả hơn là những gì bạn có thể tin được.
Và, nếu vì bất cứ lý do gì mà bạn không thích khóa học này, tôi sẽ trả lại toàn bộ tiền học cho bạn mà không hỏi bất cứ điều gì.
Hẹn gặp bạn trong khóa học này
Justin Mares, phù thủy Macbook
","Có những yêu cầu gì?
Người dùng Mac sẽ có lợi nhiều nhất từ khóa học này. nếu bạn là một người dùng PC, khóa học này chắc hẳn không dành cho bạn.
Máy tính có kết nối Internet
Một máy tính của Apple
","Hơn 19 bài giảng và 1,5 giờ nội dung
Đến cuối khóa học, bạn sẽ sử dụng ít thời gian hơn đáng kể để hoàn thành những tác vụ đơn giản trên mấy tính, làm chủ các phím tắt trên bàn phím, tăng tốc độ hoàn thành danh sách các nhiệm vụ và có một bộ công cụ cao cấp giúp bạn làm việc hiệu quả hơn.
Trong khóa học này, bạn sẽ học được cách sử dụng máy tính hiệu quả hơn để tăng hiệu suất làm việc và có kết quả tốt hơn. 
",Khóa học này dành cho những người muốn tăng hiệu suất làm việc với máy tính. Tất cả mọi người - từ người mới dùng máy tính tới các chuyện gia về Mac - đều nhận được giá trị từ lớp học.,"Phần 1: Các phím tắt cơ bản
",,
,,,,,,,"1. Giới thiệu
Giới thiệu về khóa học tăng hiệu năng sử dụng Mac. Chỉ trong 60 phút, bạn sẽ học được cách làm thế nào để tăng từ 3 tới 5 lần hiệu quả sử dụng Mac của bạn",2:08
,,,,,,,2. Phần thêm,Văn bản
,,,,,,,"3. Câu lệnh, Tùy chọn và Kiểm soát
Ở bài này, tôi sẽ nói về những biểu tượng khác nhau được Apple sử dụng để biểu thị các phím (như phím shift, câu lệnh...) bạn sẽ sử dụng chúng trong suốt khóa học này.
Xem bên dưới để nhận bảng tổng hợp cho những biểu tượng này.",1:35
,,,,,,,"4. Thao tác thành thạo với văn bản
Trong bài này, tôi giới thiệu cách giúp bạn thao tác nhanh chóng và dễ dàng với văn bản. Có thể sao chép, cắt dán và điều khiến các đoạn văn bản nhanh chóng và cực kì hữu ích nếu - giống như rất nhiều người trong chúng ta - bạn tiêu tốn rất nhiều thời gian vào email và Microsoft word mỗi ngày.",6:04
,,,,,,,"5. Điều hướng phím tắt
Trong khóa học này, tôi đề cập đến cách làm thế nào để chuyển hướng nhanh chóng giữa các ứng dụng khác nhau sử dụng tab, câu lệnh và phím tilda.",2:38
,,,,,,,"6. Điều hướng phím nóng phần 2
Trong bài này, tôi chỉ cho bạn cách mở và đóng các chương trình nhanh chóng trên máy Mac của bạn bằng phím nóng và công cụ tìm kiếm.
",1:36
,,,,,,,"7. Nghỉ ngơi ngắn
Nếu bạn đã học được gì đó rồi thì hãy dành vài giây để nhận xét khóa học. Tôi rất biết ơn điều này.",0:58
,,,,,,"Phần 2: Làm chủ các ứng dụng- Word, Gmail và hơn thế nữa",,
,,,,,,,"8. Thao tác với Microsoft Word 
Trong bài giảng này, tôi sẽ chỉ ra làm thế nào bạn có thể dùng phím tắt để sử dụng Microsoft Word nhanh hơn. Đối với nhiều người, viết một trong giấy hoặc viết nháp một lá thư cần trở chuột và click rất nhiều, tốn rất nhiều thời gian. Tôi sẽ cho bạn thấy làm thế nào để tránh sử dụng chuột trong Word và thực hiện công việc nhanh hơn.",7:16
,,,,,,,"9. Thủ thuật tăng hiệu quả sử dụng Gmail
Trong bài giảng này, tôi sẽ cho bạn thấy cách sử dụng Gmail nhanh chóng và hiệu quả. Chúng ta sẽ học về các phím tắt trong Gmail, làm thế nào để tùy biến các phím tắt của riêng bạn và làm thế nào để thiết lập một vài tính năng nâng cao bằng cài đặt Gmail và Labs
",10:43
,,,,,,,"10. Chinh phục Google Chrome
Trong bài này, chúng ta sẽ tìm hiểu cách sử dụng Google Chrome nhanh chóng và hiệu quả. Tôi sẽ chỉ cho bạn cách làm chủ một trong những công cụ phổ được sử dụng biến nhất - trình duyệt web",14:46
,,,,,,,"11. Sử dụng công cụ tìm kiếm để làm việc nhanh hơn
Bài giảng này bao gồm cách để sử dụng Finder của Apple để nâng cao hiệu suất. Mặc dù Finder được coi là tiêu chuẩn trên mọi máy tính Mac, đa số rất ít  sử dụng công cụ mạnh mẽ này.",4:33
,,,,,,,"12. Các công cụ hữu dụng và hiệu quả khác
Trong bài này, tôi sẽ chỉ cho bạn một vài trong số những công cụ hiệu quả của tôi và gợi ý cho bạn cách chính xác để sử dụng chúng đúng cách trên máy tính.",8:31
,,,,,,,"13. Kết luận
Vậy là hết rồi! Nếu bạn thích khóa học, hãy để lại một đánh giá tốt nhé, cảm ơn.",1:10
,,,,,,Phần 3: Các nguồn tài liệu,,
,,,,,,,14. Nguồn tài liệu về OSX,9 trang
,,,,,,,14. Nguồn tài liệu cho phím tắt cơ bản trong Mac,
,,,,,,,15. Phím tắt cho Mac Mail,6 trang
,,,,,,,15. Nguồn tài liệu cho Mac Mail,
,,,,,,,16. Phím tắt cho Google Docs,6 trang
,,,,,,,16. Nguồn tài liệu cho Google Docs,
,,,,,,,17. Phím tắt cho Excel,7 trang
,,,,,,,17. Nguồn tài liệu cho Excel,
,,,,,,,18. Phím tắt cho Word,7 trang
,,,,,,,18. Nguồn tài liệu cho Word,
,,,,,,,19. Phím tắt Oulook,6 trang
,,,,,,,19. Nguồn tài liệu cho Oulook,