name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng của khóa học này là ai?,Chương trình học,,
Xem tướng,Hiểu được cách người khác nghĩ và tại sao họ lại hành động như vậy mà không bị quá riêng tư. Giao tiếp tốt hơn,"Như tôi được biết thì nơi duy nhất có dạy về môn khoa học này là ở Mỹ. Hệ thống suy xét cho việc định tội và chọn bổi thẩm đoàn. Điều đó thật tệ. Thật ra không phải là những thông tin này bị bảo mật. Chúng ta đều nên biết chúng từ khi còn học mẫu giáo
Tôi tin rằng những kiến thức này nên mở cho tất cả mọi người, vì thế tôi đã tạo ra khóa học này
Khoảng một nửa vấn đề trên thế giới xảy ra vì mọi người đều nghĩ rằng những người khác đều nghĩ giống như họ
Đọc vị sẽ dạy bạn cách để đọc khuôn mặc của người nào đó ,và trước khi có điều gì được nói ra, biết mọi điều từ những thứ như học cần thông tin mới cho tới liệu họ muốn được chào đón bằng 1 cái ôm hay bắt tay 
Môn khoa học này đã được kiểm chứng chính xác tới 98%. Tôi đã dạy cái này hơn 20 năm và thấy rằng nó chính xác tới 90-92%. Đủ tốt để tôi kiếm được rất nhiều tiền với tư cách là một người bán hàng; và giúp tôi thoát khỏi nhiều nỗi tổn thương trong các mối quan hệ
Dù ở nhà hay cơ quan thì đây là 1 công cụ có thể giúp bạn bắt kịp với mọi người ngay lập tức và giúp bạn nói chuyện một cách không những được lắng nghe mà còn tạo cho người khác cảm giác họ được lắng nghe
Giao tiếp không chỉ tất cả là nói, nó là những gì được nghe 
Khiến cho đọc vị trở thành 1 trò chơi mà cả gia đình tham gia. Chia sẻ nó với tất cả những người muốn hiểu người khác tốt hơn, và hãy đối mặt với nó, tất cả mọi người
Để có thể dễ dàng đọc vị chính xác tới 90%, hãy tìm ra những chỉ dẫn đi kèm với khóa học này. Điều đó sẽ giúp bạn áp dụng đọc vị hiệu quả trong cuộc sống. Nó chứa những thông tin bổ sung thiết yếu, ảnh đặc điểm tiêu biểu- bao gồm loại B- với mô tả chi tiết cho từng đặc điểm; thông tin về làm sao vận dụng những đặc điểm đó trong các mối quan hệ- với những lời khuyên về làm sao quản lí chúng; và hướng dẫn JOY- những cách thú vị để thực hiện và học các đặc điểm. Nó chỉ 29 đô la
Hãy in ra các trang về đặc điểm tiêu biểu, dán chúng lên cửa tủ lạnh và đằng sau cửa nhà vệ sinh, làm theo hướng dẫn JOY
Chia sẻ những thông tin này với những người bạn muốn hiểu chính bạn","Một cái gương
Ảnh của bất cứ ai bạn muốn hiểu rõ hơn hay nhiều hơn","Hơn 36 bài giảng và 2.5 giờ nội dung
Hiểu được cách mọi người nghĩ và tại sao họ hành động như vậy mà không tìm hiểu quá riêng tư
Nâng cao doanh số bán hàng lên trung bình 30% bằng cách biết được làm thế nào đạt được thành công, điều gì là quan trọng với họ, cách tốt nhất để họ có thêm thông tin mới
Phát triển mối quan hệ cực kì tốt - nhận xét là tôi thường nhận được nhất sau khóa học là "" Nếu tôi biết điều này sớm hơn tôi sẽ không ly lị""
Giao tiếp hiệu quả và mạnh mẽ hơn với những người bạn gặp
Hẹn hò qua mạng nhanh chóng
Nhận được nhiều sự thấu hiểu hơn từ mọi người
Kết bạn với khuôn mặt của mình","Những ai đang muốn hiểu người khác
Những người muốn giao tiếp hiệu quả hơn
Những người bán hàng
Người làm giáo dục
Những người hẹn hò qua mạng
Cố vấn
Bác sĩ trị liệu
Quản lí
Các nhà lãnh đạo lớn
Gia đình
Doanh nhân
Tất cả mọi người",Phần 1: Đọc vị là như nào?,,
,,,,,,,Di truyền học về ứng xử là như nào và tại sao tôi lại dạy nó,3:37
,,,,,,,Thế nào không phải là di truyền học về ứng xử,1:10
,,,,,,,Trước khi bắt đầu hãy đảm bảo rằng bạn có 3 thứ sau,2:42
,,,,,,,Hãy cùng chúng tôi tham gia cam kết JOY,1:10
,,,,,,,Chỉ dẫn đọc vị,1:41
,,,,,,,Chúng ta bắt đầu với một đặc điểm cơ thể bổ sung để giải thích vì sao không có đặc điểm nào là tốt hay xấu,4:40
,,,,,,Phần 2: Tự tin và thận trọng,,
,,,,,,,Đặc điểm của tự tin vào bản thân,6:42
,,,,,,,Đặt nhưng khuôn mặt lại cạnh nhau,6:53
,,,,,,,Thế còn tôi? Tôi ở loại B,1:33
,,,,,,Phần 3: Kết quả và quá trình,,
,,,,,,,Con người nhận được thông tin mới bằng những cách rất khác nhau,3:15
,,,,,,,Những đặc điểm khiến thôi kiếm được 30 ngàn đô trong 5 phút,1:20
,,,,,,,Bạn diễn đạt thế nào với 2 phong cách suy nghĩ cùng 1 lúc?,4:23
,,,,,,,Hỏi đáp về các đặc điểm về sự tự tin và phong cách suy nghĩ,8:57
,,,,,,Phần 4: Chạm hay không chạm,,
,,,,,,,Làm thế nào để đạt được ấn tượng tốt nhất,6:42
,,,,,,,Hỏi và đáp về qui tắc Ôm với Bỏ tay xuống,1:44
,,,,,,,Lựa chọn thay thế mọi thứ,1:05
,,,,,,Phần 5: Đi vào chi tiết luôn hay tổng quát trước,,
,,,,,,,Đặc điểm của sự khoan dung,9:16
,,,,,,,Bạn sẽ dùng nó như thế nào?,2:54
,,,,,,,Lặp lại những đặc điểm được tập trung,6:10
,,,,,,,Lợi thế của việc chọn những đặc điểm mà bạn quen thuộc,2:08
,,,,,,Phần 6: Người thích khám phá với người chỉ thích ở nhà,,
,,,,,,,Đặc điểm của thích mạo hiểm và những thử thách trong mối quan hệ,6:51
,,,,,,,Đoán xem ai đang nói,0:39
,,,,,,,Phần 7: Quản lí và giúp đỡ,
,,,,,,,Mọi người thể hiện sự quan tâm của họ như thế nào,7:30
,,,,,,,Hiểu hơn về mũi,2:00
,,,,,,,Malka có 2 cái mũi khác nhau!,4:51
,,,,,,Phần 8: Ngôn ngữ và sự súc tích,,
,,,,,,,Tại sao anh ấy (cô ấy) không nói về cảm xúc và làm sao để họ mở lòng,8:59
,,,,,,,Về phong cách ngôn ngữ,3:43
,,,,,,,Phần 9: Sự cho đi vô thức và có ý thức,
,,,,,,,Dấu hiệu của sự hào phóng,6:01
,,,,,,,Một đứa trẻ 8 tuổi sử dụng đặc điểm của mình để trở thành lợi thế,0:28
,,,,,,,Phần 10: Nghi ngờ và quyết đoán,
,,,,,,,Đặc điểm của sự quyết đoán,4:07
,,,,,,Phần 11: Những thứ hay hơn nữa,,
,,,,,,,Sự đa dạng của bán cầu,2:15
,,,,,,,Những đặc điểm trội,2:43
,,,,,,,Các đặc điểm là những đường ghép- ghép những mảnh ghép lại với nhau,1:24
,,,,,,,Tại sao bạn lại học về chính bản thân và người khác?,1:21
,,,,,,,Cái gì ở trong chai?,1:00
,,,,,,Phần 12: Làm cho nó thật sự hữu dụng cho bạn,,
,,,,,,,"Nếu bạn muốn học sâu hơn về đọc vị, tôi gợi ý nên tìm phần hướng dẫn",3:40
,,,,,,Lý lịch giảng viên,,