Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,
Làm bánh Pie chuyên nghiệp : Khóa học làm bánh Tart pastry và Pie ,Tìm hiểu cách làm cho bánh sao cho được đánh giá cao. Marie sẽ hướng dẫn bạn từng bước thông qua 20 công thức nấu ăn từ cửa hàng bánh của cô,"Bạn đã bao giờ phải vật lộn để làm 1 chiếc bánh nướng ngon đẹp? Tôi đã từng làm. Đó là lý do tại sao tôi đã dành nhiều năm để phát triển một phương pháp để thực hiện nhất quán bánh nghệ nhân ! Sử dụng nguyên liệu chất lượng và thực hiện theo các phương pháp, bạn cũng có thể làm cho chiếc bánh tuyệt vời. 
Tôi tên là Marie. Tôi sở hữu và làm chủ một cửa hàng làm bánh pie. Đam mê với bánh pie, ngoại ô của Seattle. Vì vậy, tôi dần dần phát triển hệ thống sao cho có thể làm một cách dễ dàng hơn. Đó là một kỹ thuật mà mọi nhân viên tôi đều muốn sử dụng, và tất cả họ chưa có kinh nghiệm làm bánh từ trước
Bạn phải học: 
Làm lớp vỏ bơ thơm ngon và đơn giản
Một số loại bánh pie nhântrái cây
Làm thế nào để tự làm ra 1 chiếc pudding giàu dinh dưỡng từ  bánh kem 
Nhiều bánh tart ngọt và mặn để chia sẻ với bạn bè và gia đình 
Bánh nướng nhồi thịt gà được làm từ gà Ailen
Và còn nhiều hơn thế nữa...
Bạn có muốn nhiều hơn? Vậy hãy tham gia cùng tôi! Tôi tin rằng nếu bạn muốn trở thành một đầu bếp làm bánh pie chuyên nghiệp , bạn có thể được thực hiện được. Tôi sẽ chỉ cho bạn cách.
Công thức làm bánh trên video đã từng bước một chỉ ra cho bạn làm thế nào để dễ dàng làm được một chiếc bánh pastry bơ 
Nhiều góc quay giúp cho bạn gần gũi hơn, thoải mái hơn và chảy nước miếng khi xem những video hướng dẫn này.
Chất lượng audio. được kể lại bởi tôi, Marie
Tôi sẽ  bắt đầu bằng cách hướng dẫn bạn chiếc bánh đầu tiên tôi làm : Bánh vụn - vị đào, đại hoàng cà ri và quả thanh mai
Sau đó sẽ là làm như thế nào để làm ra chiếc bánh Pie vỏ kép cơ bản - Táo, Dâu đại hoàng, việt quất dại, nho đen, và mứt dừa
Có một vài loại bánh đặc biệt như Brownie Hồ đào, Sơ ri đen và bánh bơ tươi bí ngô 
Bánh kem luôn ngon hơn lớp kem trên bánh! món yêu thích của tôi là kem chanh, kem socola, và kem dừa với tất nhiên là kem tươi đánh bông 
Và cuối cùng chúng ta có thể làm một chiếc bánh nhồi thịt gà, theo cách nên làm (đầy đủ hương vị gà với lợi ích sức khỏe tuyệt vời biến thành nước sốt tự chế của riêng bạn).
đừng nên quên.. bánh tart luôn dễ làm hơn bánh pie. Bánh nấm rau chân vịt, bánh thịt cá hồi hun khói , bánh caramel hành cà chua và phô mai dê, bánh phúc bồn tử tươi và bánh táo phô mai. Thật hoàn hảo cho một chuyến đi picnic hoặc 1 bữa ăn thường
Một vài ý kiến của khách hàng với sự đam mê về bánh pies 
""wow... Các lớp vỏ rất bông  và bơ tan chảy trong miệng của bạn thực sự trên cả tuyệt vời.  Chiếc bánh nhồi thịt gà  ngon lành trong mọi cách Các bánh trái cây cũng thật tuyệt vời ......"" - Camille V. - Tacoma,WA
""Được tìm kiếm về phía trước ... kể từ khi tôi đọc về nó trong The Wall Street Journal, và nó sống theo sự mong đợi của chúng tôi. Delicious."" - Renay Portland, OR
""Nếu thiên đường thực sự tồn tại trên 1 cái bánh bạn sẽ tìm thấy nó ở đây. Chúng tôi chia sẻ chiếc bánh đại hoàng gia vị và sô cô la đen bánh kem dừa. Kem tươi sữa dừa là tuyệt vời. Đó là tất cả những chiếc bánh tốt nhất mà tôi đã từng có ... ""-Rob S. Austin, TX
""Không thể tin được ... Tôi là một người sảnh sỏi về bánh, nhưng tôi phải cúi đầu"" Đam mê với Pies ""Đó là các lớp vỏ tốt nhất bao giờ hết, không quá ngọt, thực sự tuyệt vời Chúng ta sẽ quay trở lại vào ngày mai để mang 1 vài cái bánh lên trên máy bay..!"" - Kathleen R . Fayetteville, NY","Công cụ và thiết bị bắt buộc 
xử lý thực phẩm - quy mô nhà bếp - lò - đầu bếp
Giấy nướng, gậy cán bột","Hơn 40 bài học và 3 tiếng về nội dung !
Học cách làm loại bánh ngọt sao cho ngon nhất và đơn giản nhất
Chuyên gia về bánh ngọt và bánh mặn với bánh tart và bánh pie 
Hiểu những điều cơ bản để làm nên tất cả lớp vỏ bằng bơ 1 cách dễ dàng nhất 
Học làm bánh mì nướng nhồi thịt gà từ bước đầu 
Tiếp thụ được các mẹo từ lời khuyên các chuyên gia
Khám phá lợi ích sức khỏe nhờ đường mía
Hiểu rõ tại sao phải chọn nguyên liệu đảm bảo về chất lượng
Có được công thức nấu ăn đã được kiểm chứng và phương pháp phù hợp với bánh pie và bánh tart
Chia sẻ kinh nghiệm làm bánh với gia đình và bạn bè","Những người làm bánh mới vào nghề hoặc đã có kinh nghiệm
Đối với những ai muốn biết về bí quyết làm bánh pie nguyên bản
Những ông bố, bà mẹ hay những đầu bếp tại gia
những người yêu bánh pie ",Bài 1: Mở đầu về bánh pie và tart,
,,,,,,,Ghi chú của Marie 
,,,,,,,Làm thế nào để nướng bánh pie một cách chuyên nghiệp
,,,,,,,Lịch sử của bánh pie
,,,,,,,Thiết bị và vật liệu 
,,,,,,,Hướng dẫn về các nguyên liệu
,,,,,,,Lời khuyên của các chuyên gia
,,,,,,,Câu hỏi trắc nghiệm số 1: Mở đầu về Pies và tarts
,,,,,,Bài 2: Bánh vụn,
,,,,,,,làm bánh vụn bột nhào phần 1
,,,,,,,Làm bánh vụn trên mặt bánh phần 2
,,,,,,,Công thức và hỗn hợp bánh vụn thanh mai phần 3
,,,,,,,Công thức và hỗn hợp bánh vụn đào phần 3
,,,,,,,Công thức và hỗn hợp bánh vụ cà ri đại hoàng phần 3
,,,,,,,Câu hỏi trắc nghiệm số 2: Bánh vụn 
,,,,,,Bài 3: Bánh pie vỏ kép,
,,,,,,,Làm bánh pie vỏ kép
,,,,,,,Công thức và hỗn hợp làm bánh việt quất dại phần 2
,,,,,,,Công thức và hỗn hợp làm bánh bột nhào nho đen phần 2
,,,,,,,Công thức và hỗn hợp làm bánh dâu rừng phần 2
,,,,,,,Công thức và hỗn hợp làm bánh táo phần 2
,,,,,,,Công thức và hỗn hợp làm bánh mứt dừa phần 2
,,,,,,,Câu hỏi trắc nghiệm 3: Về bánh Pie vỏ kép
,,,,,,Bài 4:Bánh tarts,
,,,,,,,Làm bánh kem rán loại lớn phần 1
,,,,,,,Công thức và hỗn hợp làm bánh hun khói cá hồi phần 2
,,,,,,,Công thức và hỗn hợp làm bánh nấm rau bina phần 2
,,,,,,,"Công thức và hỗn hợp làm bánh caramel hành, cà chua và phô mai dê phần 2"
,,,,,,,Công thức làm Bánh tart phô mai táo và dây chuyền sản xuất phần 2
,,,,,,,Câu hỏi trắc nghiệm 4: Tarts
,,,,,,Bài 5: Bánh pie đặc biệt ,
,,,,,,,27 cách làm bánh bắt chéo phần 1
,,,,,,,Công thức và hỗn hợp làm bánh pie bắt chéo sơ ri đen 
,,,,,,,Bánh brownie hồ đào phần 1 
,,,,,,,Bánh brownie hồ đào phần 2
,,,,,,,Bánh kem bí ngô tươi phần 1
,,,,,,,Bánh kem bí ngô tươi phần 2
,,,,,,,Câu hỏi trắc nghiệm 5: Bánh nướng đặc biệt
,,,,,,Bài 6: Bánh kem ,
,,,,,,,Làm bánh kem rán loại nhỏ phần 1 
,,,,,,,Công thức và hỗn hợp làm bánh tart phúc bồn tử
,,,,,,,Công thức và hỗn hợp làm bánh kem chanh loại nhỏ 
,,,,,,,Công thức và hỗn hợp làm bánh kem sô cô la loại nhỏ
,,,,,,,Làm bánh kem rán loại lớn phần 1
,,,,,,,Công thức và hỗn hợp bánh kem dừa
,,,,,,,Câu hỏi trắc nghiệm 6: Bánh kem
,,,,,,Bài 7: Bánh nướng nhồi thịt gà ,
,,,,,,,Làm nước gà phần 2
,,,,,,,Làm hỗn hợp bột phần 2
,,,,,,,Làm donut (bánh rán vòng) phần 3
,,,,,,,Làm sốt phần 4
,,,,,,,Lắp ráp & Nướng bánh phần 5
,,,,,,,Câu hỏi trắc nghiệm 7: Bánh nướng nhồi thịt gà
,,,,,,Xin chúc mừng,