Name,sub-title,Mô tả khóa học,Yêu cầu,Lợi ích từ khóa học,Đối tượng mục tiêu,Chương trình giảng dạy,,
Nắm vững về thiết kế Web trong Photoshop,Học cách để tạo ra được thiết kế website tuyệt đẹp trong Photoshop,"Thiết kế ra một trang web tuyệt đẹp nhờ vào những kiến thức thực tế về các công cụ và tính năng của  Adobe Photoshop. Khóa học này, vừa dành cho người mới bắt đầu vừa dành cho các nhà thiết kế giàu kinh nghiệm. Khóa học còn sẽ cho bạn biết cách làm thế nào sử dụng Photoshop để thiết kế trang web, tùy chỉnh đồ họa và hơn nữa nó còn thu hút người dùng cuối và gây ấn tượng với khách hàng.
Chuẩn bị cho sự nghiệp thiết kế web của bạn bằng cách học Photoshop cơ bản và các vấn đề chi tiết của ngành công nghiệp thiết kế
Nắm vững các nguyên tắc thiết kế web & mẫu in.
Học thiết kế tùy chỉnh đồ họa và các biểu tượng sao cho đẹp mắt.
Nắm quyền truy cập vào các file psd cao cấp và các mẫu để lấy cảm hứng cho các dự án của riêng bạn.
Làm thế nào để làm việc với khách hàng và làm thế nào để duy trì cạnh tranh trong một ngành công nghiệp mũi nhọn.
Tạo trang web thu hút khách hàng và làm đẹp thêm Porfolio của bạn
Thiết kế web chuyên nghiệp là một nhu cầu cao đối với các loại hình doanh nghiệp từ các tập đoàn lớn tới những cửa hàng nhỏ đang tìm kiếm những nhà thiết kế web để cải thiện hoạt động online của họ và xây dựng thương hiệu. Khóa học này sẽ dạy cho bạn những kỹ năng bạn cần để tạo ra các thiết kế website tuyệt đẹp bằng cách sử dụng Photoshop, nhờ đó bạn có thể biến mong muốn của khách hàng của bạn thành hiện thực. Bạn cũng sẽ tìm hiểu được là làm thế nào để nói chuyện với khách hàng, hiểu được các yêu cầu của họ và đáp ứng chúng.
Nội dung và Tổng quan
Cho dù bạn là một người mới bắt đầu hay một nhà thiết kế web giàu kinh nghiệm, bạn sẽ thấy khóa học này mang lại lợi ích cho bạn với những bài học rõ ràng, chỉ dẫn ngắn gọn cùng các ví dụ thực tế và bài tập thực hành.
Photoshop & Thiết kế Web từ A đến Z: theo học quá trình đi từng bước của khóa học, bạn sẽ tìm hiểu được các nguyên tắc thiết kế web và các kỹ năng Photoshop cần thiết để tạo ra các trang web và đồ họa sống động, bắt đầu với các chủ đề cơ bản như so sánh các phiên bản khác nhau của Photoshop và lựa chọn một monitor, trước khi học đến spacing, typography, thiết kế logo, bố trí và hơn nữa.
Tình huống với khách hàng: Bạn sẽ hiểu biết tốt hơn về thực tế thiết kế web bằng cách trải qua các nghiên cứu trường hợp thực tế trong cuộc sống để biết phải làm những gì và không nên làm những gì khi làm việc với khách hàng.
Giả lập: Bạn sẽ được xem việc tạo ra hai trang web từ đầu đến cuối để hiểu biết tốt hơn về quá trình thiết kế.
Mẫu miễn phí và nguồn: Bạn sẽ được truy cập vào một lựa chọn độc quyền của các tập tin psd, hướng dẫn phím tắt, cùng với rất nhiều mẫu trang web mà bạn có thể sử dụng cho các dự án của riêng bạn.
Tính năng khóa học:
Âm thanh rõ ràng từ người nói tiếng Anh bản ngữ
Ghi âm full HD: 1920x1080
Photoshop CC 2014 (phiên bản mới nhất) được sử dụng trong suốt khóa học
Các file psd đính kèm. Bạn hãy xem bài giảng 64 để xem trước. Bổ sung thường xuyên hơn nữa.
Chỉnh sửa chuyên nghiệp: luôn chú tâm trong các lĩnh vực quan trọng, các phím tắt được thể hiện như tiêu đề, kỹ thuật lặp dần được tăng tốc
Tất cả các bài giảng có dang file .psd đính kèm cùng một file .pdf với bất kỳ liên kết nào đều được thể hiện trong video.
Sau khi hoàn thành khóa học này, bạn sẽ có hiểu biết tương đối tốt về các nguyên tắc thiết kế web và các nền tảng của Photoshop cần thiết để tạo ra các trang web xịn và đồ họa. Bạn cũng sẽ được làm quen với ngành công nghiệp thiết kế web và các chiến lược chuyên môn cần thiết để xây dựng một cơ sở khách hàng.",Bạn cần ít nhất biết Photoshop CS4 và có hiểu biết cơ bản về cách làm việc với Photoshop,"Hơn 73 bài giảng và 9 giờ nội dung!
Tạo ra được thiết kế website tuyệt đẹp với Photoshop
Nâng cao kiến thức và sự hiểu biết về nguyên tắc thiết kế web
Dễ dàng làm việc với Photoshop cùng tất cả các công cụ chính
Tìm hiểu kỹ thuật  nhanh chóng để có được kết quả tuyệt vời ngay lập tức","Khóa học rất bổ ích dành cho ai mong muốn đi sâu vào lĩnh vực thiết kế web.
Bất cứ ai muốn học một kỹ năng sống mới có thể áp dụng ngay lập tức và kiếm tiền
Cả người mới bắt đầu và người có kinh nghiệm đều được chào đón nhờ vào nội dung phong phú của khóa học",Phần 1: Cập nhật mới nhất,"Giới thiệu về phần này
Nhân vật & Paragraph Styles
 Giải thích Đối tượng thông minh
Làm thế nào để sử dụng một đối tượng thông minh
Làm thế nào để tạo ra một mockup thực tế với các đối tượng thông minh
Làm thế nào để sử dụng Adobe Generator
Làm thế nào để sử dụng Layer Comps
Layer Comps với Smart Objects",
,,,,,,,Giới thiệu về phần này,2:12
,,,,,,,Nhân vật & Paragraph Styles,8:21
,,,,,,, Giải thích Đối tượng thông minh,3:05
,,,,,,,Làm thế nào để sử dụng một đối tượng thông minh,3:51
,,,,,,,Làm thế nào để tạo ra một mockup thực tế với các đối tượng thông minh,2:09
,,,,,,,Làm thế nào để sử dụng Adobe Generator,3:47
,,,,,,,Làm thế nào để sử dụng Layer Comps,5:47
,,,,,,,Layer Comps với Smart Objects,1:51
,,,,,,Phần 2: Giới thiệu - Câu chuyện của tôi,,
,,,,,,,Giới thiệu - Câu chuyện của tôi,6:11
,,,,,,Phần 3: Các vấn đề cơ bản,,
,,,,,,,Yêu cầu hệ thống & thiết lập tốt nhất,7:48
,,,,,,,Quản lý màu sắc,5:35
,,,,,,,Quản lý màu sắc - câu hỏi,3 câu hỏi
,,,,,,, so sánh các phiên bản Photoshop,14:25
,,,,,,,Piracy & ăn cắp,3:07
,,,,,,,"Màn hình: các loại bảng tốt nhất, độ phân giải, thương hiệu, kích thước",8:31
,,,,,,,Monitor - câu hỏi,1 câu hỏi
,,,,,,,"Thiết kế web chỉ trong Photoshop, không có mã hóa",3:05
,,,,,,,Những gì bạn cần biết về Photoshop,5:49
,,,,,,,Làm thế nào để kiếm tiền từ những kỹ năng bạn đang tìm hiểu,5:35
,,,,,,,Hệ thống lưới,5:06
,,,,,,,Hệ thống lưới - câu hỏi,1 câu hỏi
,,,,,,,Thiết lập không gian làm việc của bạn,2:55
,,,,,,,Các chủ đề mà tôi sẽ không nói đến theo chiều sâu,1:51
,,,,,,Phần 4: Các nguyên tắc,,
,,,,,,,Giao tiếp hiệu quả,6:31
,,,,,,,Giao tiếp hiệu quả - câu hỏi,4 câu hỏi
,,,,,,,Một trang web phải kể được một câu chuyện và tạo ra một bầu không khí,10:49
,,,,,,,Đơn giản & cân đối hoặc rất chi tiết?,5:25
,,,,,,,Làm thế nào để hiểu nhu cầu của khách hàng,9:04
,,,,,,,Tất cả về nguồn cảm hứng,6:44
,,,,,,,Bài tập: Cảm hứng,Văn bản
,,,,,,,Thực hành: Làm thế nào để có được cảm hứng của tôi,8:46
,,,,,,,Tiếp cận từng bước ,4:55
,,,,,,,Thực hành: Sử dụng  tiếp cận từng bước để tạo ra một biểu tượng,19:43
,,,,,,,Tất cả nội dung về wireframe,8:23
,,,,,,,Tất cả nội dung về wireframe - câu hỏi,4 câu hỏi
,,,,,,,"Vai trò của hình ảnh, hình ảnh tác giả tự chụp và hình ảnh miễn phí",9:12
,,,,,,,Tùy chỉnh đồ họa,6:10
,,,,,,,Thực hành: Tạo tùy chỉnh đồ họa,14:21
,,,,,,,Các công cụ căn chỉnh,4:18
,,,,,,,"Đối xứng, khoảng cách thích hợp và khoảng trắng",12:35
,,,,,,,Làm việc với một bản tóm tắt,6:50
,,,,,,,Làm việc trên một 'dự án nhỏ',4:56
,,,,,,,"""đơn giản, hiện đại, cân đối ""và các điều khoản khác của khách hàng khác thực sự có ý nghĩa gì?",9:02
,,,,,,,Sử dụng phong cách layer đúng cách,19:32
,,,,,,,Cạm bẫy của trí tưởng tượng,4:29
,,,,,,,Hiểu biết về sự tương phản,7:26
,,,,,,,Sử dụng những cái có sẵn và ý nghĩa của việc trở thành một nhà thiết kế,12:05
,,,,,,,Tối ưu bảng layer (lớp) của bạn,8:11
,,,,,,,Thực hành: Làm thế nào để tổ chức một dự án lộn xộn,18:24
,,,,,,,Nội dung ngu ngốc,4:33
,,,,,,,Thiết kế logo,5:45
,,,,,,,Tầm quan trọng của tốc độ,6:29
,,,,,,,Lựa chọn những dự án đúng,5:30
,,,,,,,Hướng dẫn về giá cả cho công việc của bạn,10:52
,,,,,,,Làm thế nào để liên tục trở nên tốt hơn,4:57
,,,,,,"Phần 5: Những kỹ thuật, thủ thuật và lời khuyên về Typography",,
,,,,,,,Những nguồn phông chữ tốt nhất,8:21
,,,,,,,Bảng Character (điều khiển phông chữ),11:57
,,,,,,,Làm thế nào để nhận dạng một phông chữ,4:47
,,,,,,,Pha trộn phông chữ,5:33
,,,,,,,"Những kỹ thuật, thủ thuật và lời khuyên về Typography",12:41
,,,,,,Phần 6: Dự án,,
,,,,,,,Giới thiệu và mô tả dự án,9:32
,,,,,,,Thiết lập cách bố trí,4:12
,,,,,,,Đưa ra các nội dung,6:26
,,,,,,,Tạo các tiêu đề,16:02
,,,,,,,Tạo vùng hero,11:21
,,,,,,,Tạo các khu vực nội dung,12:49
,,,,,,,Tạo chứng thực và khu vực chân trang,12:04
,,,,,,,Kết luận,3:45
,,,,,,Phần 7: Dự án thiết kế phẳng,,
,,,,,,,"Thiết kế phẳng: Định nghĩa, các ví dụ, hiệu ứng chuyển động phẳng, lịch sử, skeuomorphism.",10:25
,,,,,,,Tránh những sai lầm về thiết kế phẳng,5:35
,,,,,,,Xây dựng một trang web phẳng - Giới thiệu,1:28
,,,,,,,Xây dựng một trang web phẳng - Tạo tiêu đề,6:46
,,,,,,,Xây dựng một trang web phẳng - Tạo điểm trung tâm,9:23
,,,,,,,Xây dựng một trang web phẳng - Chứng thực và CTA (Call To Action - Kêu gọi hành động),9:06
,,,,,,,Xây dựng một trang web phẳng - Hoàn thiện với chân trang,4:41
,,,,,,Phần 8: Kết luận cuối cùng,,
,,,,,,,Kết luận cuối cùng,1:11
,,,,,,Phần 9: Tải toàn bộ các tài nguyên ở đây,,
,,,,,,,Tải toàn bộ các tài nguyên ở đây,Văn bản
,,,,,,,"Xem trước các tài nguyên
Xem trước",1 slide